,Rank,Title,Score,popularity,Members,Type,Episodes,Genre,Demographic,Start Date,End Date,Image,Link,Start Year,End Year
92,93,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,8.58,154,987623,TV,39,"['Action', 'Adventure', 'Supernatural']",Shounen,2018-01-10,2019-01-07,https://cdn.myanimelist.net/r/100x140/images/anime/1572/95010.jpg?s=fa9d4dedc7ac3d11c20b7e24e35debef,https://myanimelist.net/anime/37991/JoJo_no_Kimyou_na_Bouken_Part_5__Ougon_no_Kaze,2018,2019.0
93,94,Spy x Family,8.58,79,1440256,TV,12,"['Action', 'Award Winning', 'Comedy']",Shounen,2022-01-04,2022-01-06,https://cdn.myanimelist.net/r/100x140/images/anime/1441/122795.jpg?s=b78143ebdb28c0046f752655a225774d,https://myanimelist.net/anime/50265/Spy_x_Family,2022,2022.0
94,95,Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,8.57,1102,211051,Movie,1,"['Action', 'Sci-Fi']",,2009-01-04,2009-01-04,https://cdn.myanimelist.net/r/100x140/images/anime/12/19698.jpg?s=ddc790a2d507b1c78a8038f1e9457beb,https://myanimelist.net/anime/4565/Tengen_Toppa_Gurren_Lagann_Movie_2__Lagann-hen,2009,2009.0
95,96,Kenpuu Denki Berserk,8.57,320,631349,TV,25,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Horror']",Seinen,1997-01-10,1998-01-04,https://cdn.myanimelist.net/r/100x140/images/anime/1384/119988.jpg?s=fd2dc921a492620cb9421bd005434fcc,https://myanimelist.net/anime/33/Kenpuu_Denki_Berserk,1997,1998.0
96,97,Kizumonogatari II: Nekketsu-hen,8.57,501,433723,Movie,1,"['Action', 'Mystery', 'Supernatural']",,2016-01-08,2016-01-08,https://cdn.myanimelist.net/r/100x140/images/anime/1981/112812.jpg?s=4e049ab01e189ca078eaccc3a91f84d3,https://myanimelist.net/anime/31757/Kizumonogatari_II__Nekketsu-hen,2016,2016.0
97,98,Natsume Yuujinchou Go,8.57,1266,181192,TV,11,"['Drama', 'Slice of Life', 'Supernatural']",Shoujo,2016-01-10,2016-01-12,https://cdn.myanimelist.net/r/100x140/images/anime/11/81755.jpg?s=bf3caabaccd732425fcaf7a8c85a8ff9,https://myanimelist.net/anime/32983/Natsume_Yuujinchou_Go,2016,2016.0
98,99,Natsume Yuujinchou San,8.57,939,247769,TV,13,"['Drama', 'Slice of Life', 'Supernatural']",Shoujo,2011-01-07,2011-01-09,https://cdn.myanimelist.net/r/100x140/images/anime/8/82394.jpg?s=f40400064283f68903948d1124df67a8,https://myanimelist.net/anime/10379/Natsume_Yuujinchou_San,2011,2011.0
99,100,Ookami Kodomo no Ame to Yuki,8.57,225,797107,Movie,1,"['Award Winning', 'Fantasy', 'Slice of Life']",,2012-01-07,2012-01-07,https://cdn.myanimelist.net/r/100x140/images/anime/9/35721.jpg?s=8447e90edf5c69af409b8483f91a72e9,https://myanimelist.net/anime/12355/Ookami_Kodomo_no_Ame_to_Yuki,2012,2012.0
100,101,Shouwa Genroku Rakugo Shinjuu,8.57,815,286006,TV,13,['Drama'],Josei,2016-01-01,2016-01-04,https://cdn.myanimelist.net/r/100x140/images/anime/1354/124768.jpg?s=a1d5665c6f353f4b3bd6eeb9a39930ef,https://myanimelist.net/anime/28735/Shouwa_Genroku_Rakugo_Shinjuu,2016,2016.0
101,102,Yojouhan Shinwa Taikei,8.56,497,439218,TV,11,"['Award Winning', 'Comedy', 'Mystery', 'Romance']",,2010-01-04,2010-01-07,https://cdn.myanimelist.net/r/100x140/images/anime/1633/123689.jpg?s=767a2c7974ae7672bda3f065627339cc,https://myanimelist.net/anime/7785/Yojouhan_Shinwa_Taikei,2010,2010.0
102,103,Kimi no Suizou wo Tabetai,8.55,164,927554,Movie,1,"['Drama', 'Romance']",,2018-01-09,2018-01-09,https://cdn.myanimelist.net/r/100x140/images/anime/1768/93291.jpg?s=44eff1f7b3c25378ceaf04f5ccdd1f5d,https://myanimelist.net/anime/36098/Kimi_no_Suizou_wo_Tabetai,2018,2018.0
103,104,Neon Genesis Evangelion: The End of Evangelion,8.55,175,905148,Movie,1,"['Avant Garde', 'Drama', 'Sci-Fi']",,1997-01-07,1997-01-07,https://cdn.myanimelist.net/r/100x140/images/anime/1404/98182.jpg?s=98628f236cf7dbac1e0b6eb6d0615aa5,https://myanimelist.net/anime/32/Neon_Genesis_Evangelion__The_End_of_Evangelion,1997,1997.0
104,105,Fate/Zero 2nd Season,8.55,130,1094634,TV,12,"['Action', 'Fantasy', 'Supernatural']",,2012-01-04,2012-01-06,https://cdn.myanimelist.net/r/100x140/images/anime/1522/117645.jpg?s=3435514c206712f17ce227e9e900ced8,https://myanimelist.net/anime/11741/Fate_Zero_2nd_Season,2012,2012.0
105,106,Fruits Basket 2nd Season,8.55,438,488686,TV,25,"['Drama', 'Romance', 'Supernatural']",Shoujo,2020-01-04,2020-01-09,https://cdn.myanimelist.net/r/100x140/images/anime/1972/111635.jpg?s=687e8e8172ac24510b294986391b6803,https://myanimelist.net/anime/40417/Fruits_Basket_2nd_Season,2020,2020.0
106,107,Haikyuu!! To the Top Part 2,8.55,233,781841,TV,12,['Sports'],Shounen,2020-01-10,2020-01-12,https://cdn.myanimelist.net/r/100x140/images/anime/1453/106768.jpg?s=3d0ac42e1453743181cd05177c464434,https://myanimelist.net/anime/40776/Haikyuu_To_the_Top_Part_2,2020,2020.0
107,108,Chainsaw Man,8.54,87,1385026,TV,12,"['Action', 'Fantasy']",Shounen,2022-01-10,2022-01-12,https://cdn.myanimelist.net/r/100x140/images/anime/1806/126216.jpg?s=08178bbae8e24d6a533a7f59ddea9e26,https://myanimelist.net/anime/44511/Chainsaw_Man,2022,2022.0
108,109,Zoku Natsume Yuujinchou,8.54,954,243715,TV,13,"['Drama', 'Slice of Life', 'Supernatural']",Shoujo,2009-01-01,2009-01-03,https://cdn.myanimelist.net/r/100x140/images/anime/4/79738.jpg?s=05624f5c79024732b39c1d120c4b03e9,https://myanimelist.net/anime/5300/Zoku_Natsume_Yuujinchou,2009,2009.0
